day,month,year
3,9,2001
3,9,2001
4,9,2001
4,9,1996
4,9,
4,9,2001
5,9,1996
5,9,1999
5,9,2002
6,9,1996
6,9,1999
6,9,2000
9,9,2000
9,9,2001
9,9,2002
9,9,1997
9,9,1991
10,9,2002
11,9,
11,9,
11,9,2001
12,9,
13,9,2000
13,9,1999
14,9,1999
14,9,2001
15,9,1999
15,9,1999
15,9,2001
16,9,1970
18,9,2002
19,9,2000
20,9,1998
20,9,2000
21,9,
21,9,2001
22,9,1996
22,9,
22,9,2000
22,9,
22,9,2000
23,9,1998
23,9,1969
24,9,1999
25,9,2001
25,9,2001
26,9,2001
26,9,2000
27,9,1999
27,9,2001
27,9,1999
27,9,1993
28,9,
29,9,2001
1,10,1993
1,10,
1,10,
2,10,
2,10,
2,10,2001
2,10,2001
3,10,2001
3,10,2001
4,10,1999
4,10,
4,10,
5,10,1997
5,10,2002
6,10,1999
7,10,2000
9,10,1999
9,10,1999
9,10,2000
10,10,2000
10,10,2000
11,10,1995
11,10,2000
11,10,2000
11,10,2002
12,10,
12,10,2000
13,10,2001
13,10,
14,10,
15,10,
15,10,
16,10,1999
17,10,
17,10,2000
17,10,2003
18,10,2002
18,10,2000
18,10,1997
19,10,1978
19,10,2000
20,10,1997
21,10,1998
22,10,1996
22,10,
24,10,
26,10,2001
27,10,1999
27,10,
27,10,1997
28,10,1999
29,10,1997
29,10,
30,10,1997
30,10,2000
30,10,2000
31,10,
31,10,
31,10,1999
31,10,2002
1,11,2001
2,11,1998
5,11,2002
6,11,1996
6,11,2003
7,11,1998
7,11,2001
8,11,2000
8,11,2003
9,11,1993
9,11,2001
9,11,2001
10,11,
11,11,
11,11,
11,11,1996
12,11,1998
12,11,
13,11,2000
13,11,2000
13,11,1999
14,11,1995
16,11,
16,11,
17,11,1998
20,11,1997
20,11,2000
22,11,1999
22,11,1986
23,11,
23,11,1999
23,11,2000
23,11,2004
23,11,2002
24,11,1997
25,11,2000
26,11,2001
26,11,1999
26,11,2001
27,11,2000
28,11,1999
28,11,
28,11,2000
28,11,2001
29,11,
29,11,
30,11,2001
2,12,2002
4,12,2001
5,12,2000
5,12,2000
6,12,1998
7,12,1999
7,12,
8,12,1998
8,12,2000
12,12,
13,12,
13,12,2003
13,12,1905
14,12,2000
14,12,2000
15,12,1987
15,12,1997
16,12,1994
